TIPO;CLAVE;ESTADO;OBSERVACION;UNIDADES_X_BULTO;PRECIO_LISTA_UNITARIO;COSTO_UNITARIO;BULTOS_X_PALLET;KG_X_BULTO;DESCRIPCION;ACTUALIZADO;BASE_OPERACION_X_BULTO
SKU;AIF0026;;;12;#N/D;#N/D;#N/D;;PURE BOX RECETA COMPLETA;;
SKU;AIF0027;;;12;#N/D;#N/D;#N/D;;PURE BOX SABOR PANCETA;;
SKU;AIF0028;;;12;#N/D;#N/D;#N/D;;SOPA VEGETALES ANILLITOS;;
SKU;AIF0029;;;12;#N/D;#N/D;#N/D;;SOPA POLLO ANILLITOS;;
SKU;AIF0030;;;12;#N/D;#N/D;#N/D;;SOPA VEGETALES MINI RAMEN;;
SKU;AIF0031;;;12;#N/D;#N/D;#N/D;;SOPA POLLO MINI RAMEN;;
SKU;AIF0032;;;8;#N/D;#N/D;#N/D;;SOPA POLLO MINI RAMEN - DP GRANDE;;
SKU;AIF0033;;;6;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA FILETO INSTANTANEA;;
SKU;AIF0034;;;6;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA BOLOGNESA INSTANTANEA;;
SKU;AIF0035;;;6;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA DE QUESO INSTANTANEA;;
SKU;AIF0036;;;6;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA ROSA INSTANTANEA;;
SKU;AIF0037;;;12;#N/D;#N/D;#N/D;;SOPA VEGETALES ANILLITOS - DP CHICO;;
SKU;AIF0038;;;12;#N/D;#N/D;#N/D;;SOPA VEGETALES MINI RAMEN  - DP CHICO;;
SKU;AIF0039;;;12;#N/D;#N/D;#N/D;;SOPA POLLO MINI RAMEN - DP CHICO;;
SKU;AIF0040;;;12;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA - MIX DE SABORES;;
SKU;AIF0041;;;6;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA DE BROCOLI Y ESPINA INSTANTANEA;;
SKU;AIF0042;;;6;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA CREMA DE VEGETALES INSTANTANEA;;
SKU;AIF0043;;;6;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA CURRY INSTANTANEA;;
SKU;AIF0044;;;6;#N/D;#N/D;#N/D;;ARROZ CON SALSA DE QUESO INSTANTANEA;;
SKU;AIF0045;;;6;#N/D;#N/D;#N/D;;ARROZ CON PRIMAVERA INSTANTANEA;;
SKU;AIF0046;;;8;#N/D;#N/D;#N/D;;FIDEOS DE SÉMOLA CON SALSA DE CURRY INSTANTANEA - DP GRANDE;;
SKU;AIF0047;;;12;#N/D;#N/D;#N/D;;FIDEOS DE SÉMOLA CON SALSA DE CURRY INSTANTANEA - DP CHICO;;
SKU;AIF0048;;;8;#N/D;#N/D;#N/D;;SOPA VEGETALES ANILLITOS - DP GRANDE;;
SKU;AIF0049;;;8;#N/D;#N/D;#N/D;;SOPA VEGETALES MINI RAMEN - DP GRANDE;;
SKU;AIF0050;;;8;#N/D;#N/D;#N/D;;SOPA POLLO ANILLITOS - DP GRANDE;;
SKU;AIF0051;;;12;#N/D;#N/D;#N/D;;SOPA POLLO ANILLITOS - DP CHICO;;
SKU;AIF0052;;;12;#N/D;#N/D;#N/D;;COUSCOUS CREMA DE VEGETALES VASO X 89GRS;;
SKU;AIF0053;;;12;#N/D;#N/D;#N/D;;COUSCOUS CON MENTA Y LIMON VASO X 89GRS;;
SKU;AIF0054;;;12;#N/D;#N/D;#N/D;;COUSCOUS ESTILO MARROQUI VASO X 89GRS;;
SKU;AIF0055;;;12;#N/D;#N/D;#N/D;;POLENTA CON SALSA ROSA BOX 75 GRAMOS x12 unidades;;
SKU;AIF0056;;;12;#N/D;#N/D;#N/D;;POLENTA CON SALSA DE VEGETALES BOX 75 GRAMOS x12 unidades;;
SKU;AIF0057;;;12;#N/D;#N/D;#N/D;;POLENTA CON SALSA BOLOGNESA BOX 75 GRAMOS x12 unidades;;
SKU;AIF0058;;;12;#N/D;#N/D;#N/D;;POLENTA CON SALSA DE VEGETALES MAMA COCINA 200 GRAMOS;;
SKU;AIF0059;;;12;#N/D;#N/D;#N/D;;POLENTA CON SALSA ROSA MAMA COCINA 200 GRAMOS;;
SKU;AIF0060;;;12;#N/D;#N/D;#N/D;;POLENTA CON SALSA BOLOGNESA MAMA COCINA 200 GRAMOS;;
SKU;AIF0061;;;8;#N/D;#N/D;#N/D;;COUSCOUS CON MENTA Y LIMON MAMA COCINA 200 GRAMOS x8 unidades;;
SKU;AIF0062;;;8;#N/D;#N/D;#N/D;;COUSCOUS ORIGINAL MAMA COCINA 200 GRAMOS x8 unidades;;
SKU;AIF0063;;;8;#N/D;#N/D;#N/D;;COUSCOUS MARROQUI MAMA COCINA 200 GRAMOS x8 unidades;;
SKU;AIF0064;;;8;#N/D;#N/D;#N/D;;COUSCOUS CREMA DE VEGETALES MAMA COCINA 200 GRAMOS x8 unidades;;
SKU;AIF0065;;;7;#N/D;#N/D;#N/D;;POLENTA TRADICIONAL MAMA COCINA 500 GRAMOS x7 unidades;;
SKU;AIF0068;;;15;#N/D;#N/D;#N/D;;PURE MC RECETA TRADICIONAL DOYPACK 15 X 100GR;;
SKU;AIF0069;;;15;#N/D;#N/D;#N/D;;PURE MC RECETA COMPLETA DOYPACK 15 X 100GR;;
SKU;AIF0070;;;8;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA ROSA 8 X 180GR;;
SKU;AIF0071;;;8;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA DE BROCOLI Y ESPINA 8 X 180GR;;
SKU;AIF0072;;;8;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA DE QUESO 8 X 180GR;;
SKU;AIF0073;;;8;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA BOLOGNESA 8 X 180GR;;
SKU;AIF0074;;;8;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA FILETO 8 X 180GR;;
SKU;AIF0075;;;8;#N/D;#N/D;#N/D;;FIDEOS DE SÉMOLA CON SALSA DE CURRY 8 X 180GR;;
SKU;AIF0080;;;12;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA FILETO INSTANTANEA VASO X 64GRS;;
SKU;AIF0081;;;12;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA BOLOGNESA INSTANTANEA VASO X 64GRS;;
SKU;AIF0082;;;12;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA DE QUESO INSTANTANEA VASO X 64GRS;;
SKU;AIF0083;;;12;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA DE BROCOLI Y ESPINA INSTANTANEA VASO X 64GRS;;
SKU;AIF0084;;;12;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA ROSA INSTANTANEA VASO X 64GRS;;
SKU;AIF0085;;;12;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA CREMA DE VEGETALES INSTANTANEA VASO X 64GRS;;
SKU;AIF0086;;;12;#N/D;#N/D;#N/D;;FIDEOS DE SEMOLA CON SALSA CURRY INSTANTANEA VASO X 64GRS;;
SKU;AIF0088;;;12;#N/D;#N/D;#N/D;;PASTEL DE PAPA  CON CARNE VASO X 49GRS;;
SKU;AIF0089;;;12;#N/D;#N/D;#N/D;;PASTEL DE PAPA  SABOR A PANCETA VASO X 48GRS;;
SKU;AIF0090;;;12;#N/D;#N/D;#N/D;;PURÉ DE PAPA  RECETA COMPLETA VASO X 50GRS;;
SKU;AIF0091;;;12;#N/D;#N/D;#N/D;;SOPA VEGETALES ANILLITOS VASO X 45GRS;;
SKU;AIF0092;;;12;#N/D;#N/D;#N/D;;SOPA VEGETALES MINI RAMEN VASO X 45GRS;;
SKU;AIF0093;;;12;#N/D;#N/D;#N/D;;SOPA POLLO ANILLITOS VASO X 45GRS;;
SKU;AIF0094;;;12;#N/D;#N/D;#N/D;;SOPA POLLO MINI RAMEN VASO X 45GRS;;
SKU;AIF0101;;;12;#N/D;#N/D;#N/D;;SOPA VEGETALES ANILLITOS DOY PACK;;
SKU;AIF0102;;;12;#N/D;#N/D;#N/D;;SOPA VEGETALES MINI RAMEN DOY PACK;;
SKU;AIF0103;;;12;#N/D;#N/D;#N/D;;SOPA POLLO ANILLITOS DOY PACK;;
SKU;AIF0104;;;12;#N/D;#N/D;#N/D;;SOPA POLLO MINI RAMEN DOY PACK;;
SKU;AIF0109;;;6;#N/D;#N/D;#N/D;;PASTA MBOX FILETO VASO 6X64GR;;
SKU;AIF0110;;;6;#N/D;#N/D;#N/D;;PASTA MBOX BOLOGNESA VASO 6X64;;
SKU;AIF0111;;;6;#N/D;#N/D;#N/D;;PASTA MBOX QUESOS VASO 6X64GR;;
SKU;AIF0112;;;6;#N/D;#N/D;#N/D;;PASTA MBOX BROCOLI VASO 6X64GR;;
SKU;AIF0113;;;6;#N/D;#N/D;#N/D;;PASTA MBOX ROSA VASO 6X64GR;;
SKU;AIF0114;;;6;#N/D;#N/D;#N/D;;PASTA MBOX CREMA DE VEG. 6X64GR;;
SKU;AIF0115;;;6;#N/D;#N/D;#N/D;;PASTA MBOX C/SALSA CURRY 6X64GR;;
SKU;AIF0120;;;15;#N/D;#N/D;#N/D;;PASTEL DE PAPA MC CON CARNE DOY PACK 100GR;;
SKU;AIF0121;;;15;#N/D;#N/D;#N/D;;PASTEL DE PAPA MC SABOR A PANCETA DOY PACK 100GR;;
SKU;AIF0126;;;12;#N/D;#N/D;#N/D;;ARROZ CON PRIMAVERA INSTANTANEA 85GR;;
SKU;AIF0127;;;12;#N/D;#N/D;#N/D;;ARROZ CON SALSA DE QUESO INSTANTANEA 85GR;;
SKU;AIF0132;;;12;#N/D;#N/D;#N/D;;AVENA MENU BOX ALMENDRAS Y CHIP DE CHOC.64GR x12;;
SKU;AIF0133;;;12;#N/D;#N/D;#N/D;;AVENA MENU BOX MANZANA Y CANELA 59GR x12;;
SKU;AIF0134;;;12;#N/D;#N/D;#N/D;;AVENA MENU BOX ARANDANOS 59GR x12;;
SKU;ALF0001;;;24;#N/D;#N/D;#N/D;;ALFAJOR RELLENO DE DDL CON BAÑO DE REPOSTERIA;;
SKU;ALF0002;;;24;#N/D;#N/D;#N/D;;ALFAJOR RELLENO DE DDL CON BAÑO DE REPOSTERIA BLANCO;;
SKU;ALF0003;;;24;#N/D;#N/D;#N/D;;ALFAJOR C/RELL S/FRUTOS ROJOS;;
SKU;ARZ0001;;;10;#N/D;#N/D;#N/D;;CAÑUELAS ARROZ DOBLE 1Kg;;
SKU;ARZ0002;;;12;#N/D;#N/D;#N/D;;CAÑUELAS ARROZ DOBLE 500g;;
SKU;ARZ0003;;;10;#N/D;#N/D;#N/D;;CAÑUELAS ARROZ GRANO LARGO 1Kg;;
SKU;ARZ0004;;;12;#N/D;#N/D;#N/D;;CAÑUELAS ARROZ GRANO LARGO 500g;;
SKU;ARZ0005;;;10;#N/D;#N/D;#N/D;;CAÑUELAS ARROZ INTEGRAL 1Kg;;
SKU;ARZ0006;;;12;#N/D;#N/D;#N/D;;CAÑUELAS ARROZ INTEGRAL 500g;;
SKU;ARZ0007;;;10;#N/D;#N/D;#N/D;;CAÑUELAS ARROZ PARBOIL 1Kg;;
SKU;ARZ0008;;;12;#N/D;#N/D;#N/D;;CAÑUELAS ARROZ PARBOIL 500g;;
SKU;BIZ0002;;;30;#N/D;#N/D;#N/D;3;9 ORO CLASICOS 30X100G;;
SKU;BIZ0003;;;20;#N/D;#N/D;#N/D;4;9 ORO AGRIDULCES 20X200G;;
SKU;BIZ0004;;;32;#N/D;#N/D;#N/D;3,2;9 ORO AGRIDULCES 32X100G;;
SKU;BIZ0005;;;15;#N/D;#N/D;#N/D;;9 ORO AGRIDULCES 15X420G;;
SKU;BIZ0008;;;20;#N/D;#N/D;#N/D;4;9 ORO SCONCITOS 20X200G;;
SKU;BIZ0013;;;15;#N/D;#N/D;#N/D;;GALLETA PASEO CHATITAS 15 X 140 GR;;
SKU;BIZ0017;;;15;#N/D;#N/D;#N/D;;BIZCOCHO DIA% GRASA 15 X 200 GR;;
SKU;BIZ0018;;;15;#N/D;#N/D;#N/D;;BIZCOCHO DIA% AZUCARADO 15 X 200 GR;;
SKU;BIZ0019;;;10;#N/D;#N/D;#N/D;;GALLETAS DIA% CRACKERS 10 X 300 GR;;
SKU;BIZ0020;;;10;#N/D;#N/D;#N/D;;GALLETAS SALVADO DIA% 10 X 300 GR;;
SKU;BIZ0039;;;24;#N/D;#N/D;#N/D;;9 ORO AGRIDULCES 24x215G;;
SKU;BIZ0040;;;24;#N/D;#N/D;#N/D;;9DEORO CLASICO 24X215G;;
SKU;BIZ0091;;;20;#N/D;#N/D;#N/D;;LA ANONIMA GRASA 20X200GR;;
SKU;BIZ0092;;;20;#N/D;#N/D;#N/D;;LA ANONIMA AZUCARADA 20X200GR;;
SKU;BIZ0099;;;14;#N/D;#N/D;#N/D;;GALLETA SABOR CHOCOLATE CON RELLENO DE CHOCOLATE 14x160;;
SKU;BIZ0100;;;14;#N/D;#N/D;#N/D;;GALLETA SABOR CHOCOLATE CON RELLENO DE LIMÓN 14x160;;
SKU;BIZ0101;;;14;#N/D;#N/D;#N/D;;GALLETA SABOR VAINILLA CON RELLENO DE CHOCOLATE 14x160;;
SKU;BIZ0102;;;14;#N/D;#N/D;#N/D;;GALLETA SABOR VAINILLA CON RELLENO DE LIMÓN 14x160;;
SKU;BIZ0103;;;12;#N/D;#N/D;#N/D;;BUDIN CHOCOLATE 12X220;;
SKU;BIZ0104;;;12;#N/D;#N/D;#N/D;;BUDIN MARMOLADO 12X220;;
SKU;BIZ0105;;;12;#N/D;#N/D;#N/D;;BUDIN VAINILLA 12X 220;;
SKU;BIZ0106;;;12;#N/D;#N/D;#N/D;;BUDIN VAINILLA RELLENO CON DDL 12X250;;
SKU;BIZ0108;;;28;#N/D;#N/D;#N/D;2,8;OBLEA DOBLE VAI. C/NAR. 28 X 100;;
SKU;BIZ0109;;;28;#N/D;#N/D;#N/D;;OBLEA TRIPLE CHOC C/VAI 28 X 100;;
SKU;BIZ0111;;;20;#N/D;#N/D;#N/D;;OBLEA TRIPLE CAPA VAINILLA RELLENO VAINILLA BAÑADA EN CHOC.;;
SKU;BIZ0112;;;10;#N/D;#N/D;#N/D;;DIA% 5 SEMILLAS X300;;
SKU;BIZ0118;;;4;#N/D;#N/D;#N/D;;Mini Budín Vainilla Bolsa (4 x 20und c/u)  4 x 700g;;
SKU;BIZ0119;;;4;#N/D;#N/D;#N/D;;Mini Budín Vainilla DDL  Bolsa (4 x 20und c/u)  4 x 900g;;
SKU;BIZ0120;;;25;#N/D;#N/D;#N/D;;MINI FLORA MEMBRILLO BLISTER 25 x 3 UNIDADES;;
SKU;BIZ0121;;;18;#N/D;#N/D;#N/D;;MINI FLORA MEM DISPLAY 18 x 8 UN;;
SKU;BIZ0126;;;12;#N/D;#N/D;#N/D;;9 DE ORO PEPA MEMBRILLO 12X380 GR;;
SKU;BIZ0127;;;16;#N/D;#N/D;#N/D;3,2;9 DE ORO PEPA MEMBRILLO 16X200;;
SKU;BIZ0128;;;16;#N/D;#N/D;#N/D;;9 DE ORO SCONS 16X180GR;;
SKU;BIZ0129;;;16;#N/D;#N/D;#N/D;;COOKIES CHIPS CHOCOLATE 16X180;;
SKU;BIZ0130;;;16;#N/D;#N/D;#N/D;;COOKIES CHIPS CHOCOLATE BLANCO 16X180;;
SKU;BIZ0131;;;16;#N/D;#N/D;#N/D;;COOKIES CHIPS COLORES 16X180;;
SKU;BIZ0132;;;16;#N/D;#N/D;#N/D;;GALLETAS DE AVENA Y PASAS 16X180;;
SKU;BIZ0133;;;16;#N/D;#N/D;#N/D;;GALLETAS DE AVENA Y MIEL 16X180;;
SKU;BIZ0134;;;16;#N/D;#N/D;#N/D;;GALLETAS DE AVENA Y MANZANA Y CANELA 16X180;;
SKU;BIZ0135;;;16;#N/D;#N/D;#N/D;;GALLETAS DE AVENA CON CHIPS DE CHOCOLATE 16X180;;
SKU;BIZ0136;;;16;#N/D;#N/D;#N/D;;GALLETAS DE AVENA CON YOGUR VAINILLA 16X180;;
SKU;BIZ0137;;;16;#N/D;#N/D;#N/D;;GALLETAS DE AVENA CON YOGUR FRUTILLA 16X180;;
SKU;BIZ0138;;;10;#N/D;#N/D;#N/D;;MADALENAS VAINILLA 10x200;;
SKU;BIZ0139;;;10;#N/D;#N/D;#N/D;;MADALENAS VAINILLA RELLENAS CON DDL 10x230;;
SKU;BIZ0143;;;16;#N/D;#N/D;#N/D;;MINIMADALENAS VAINILL 16X140GR;;
SKU;BIZ0144;;;14;#N/D;#N/D;#N/D;;MINIMADALENAS CHOCO. 16X140GR;;
SKU;BIZ0145;;;10;#N/D;#N/D;#N/D;;MINI BUDIN VAINILLA 10x210;;
SKU;BIZ0147;;;10;#N/D;#N/D;#N/D;;MINI BUDIN VAINILLA  C/DDL 10X215GR;;
SKU;BIZ0152;;;14;#N/D;#N/D;#N/D;4,2;PASEO CRACKERS 14X300GR;;
SKU;BIZ0153;;;14;#N/D;#N/D;#N/D;4,2;PASEO SALVADO 14X300GR;;
SKU;BIZ0154;;;14;#N/D;#N/D;#N/D;4,2;PASEO MULTICEREALES 14X300GR;;
SKU;BIZ0155;;;14;#N/D;#N/D;#N/D;4,2;GALLETITAS SALVADO  5 SEMILLAS 14X300;;
SKU;BIZ0156;;;14;#N/D;#N/D;#N/D;;PASEO SIN SAL 14X300GR;;
SKU;BIZ0157;;;14;#N/D;#N/D;#N/D;4,2;PASEO SESAMO 14X300GR;;
SKU;BIZ0158;;;14;#N/D;#N/D;#N/D;;MINIMARINERAS 14X220;;
SKU;BIZ0163;;;24;#N/D;#N/D;#N/D;;9 DE ORO OBLEA FRUT VAIN 24X50;;
SKU;BIZ0165;;;24;#N/D;#N/D;#N/D;;9 DE ORO OBLEA CHOC.NAR 24X50;;
SKU;BIZ0166;;;24;#N/D;#N/D;#N/D;;9 DE ORO OBLEA VAI. NAR 24X50;;
SKU;BIZ0167;;;28;#N/D;#N/D;#N/D;;9 DE ORO OBLEA FRU VAI 28X100;;
SKU;BIZ0168;;;20;#N/D;#N/D;#N/D;;OBLEA  TRIPLE CAPA CHOCOLATE RELLENO CHOCOLATE BAÑADA EN CHOCOLATE  20x 80GRS;;
SKU;BIZ0169;;;8;#N/D;#N/D;#N/D;;OBLEA TRIPLE CAPA CHOCOLATE RELLENO CHOCOLATE BAÑADA EN CHOCOLATE DISPLAY 8 X 400 GRS;;
SKU;BIZ0170;;;12;#N/D;#N/D;#N/D;;BUDIN INGLES 12X220;;
SKU;BIZ0174;;;12;#N/D;#N/D;#N/D;;BUDIN INTEGRAL BANANA Y CINCO SEMILLAS 12X220;;
SKU;BIZ0176;;;16;#N/D;#N/D;#N/D;;PASEO VEGETAL ZAPALLO 16 X 150;;
SKU;BIZ0177;;;12;#N/D;#N/D;#N/D;;BUDIN INTEGRAL LIMON CON AMAPOLA 12X220;;
SKU;BIZ0178;;;16;#N/D;#N/D;#N/D;;PASEO VEGETAL ESPINACA 16 X 150;;
SKU;BIZ0179;;;16;#N/D;#N/D;#N/D;;PEPA MEMBRILLO INTEGRAL 16X140;;
SKU;BIZ0180;;;8;#N/D;#N/D;#N/D;;OBLEA TRIPLE CAPA VAINILLA RELLENO NARANJA BAÑADA EN CHOCOLATE DISPLAY 8X 400 GRS;;
SKU;BIZ0183;;;16;#N/D;#N/D;#N/D;;GALLETITAS DULCES SABOR COCO 16 x 120;;
SKU;BIZ0184;;;16;#N/D;#N/D;#N/D;;GALLETITAS DULCES SABOR VAINILLA 16 x 120;;
